source,target,origin
CGN,TGFBR2,stMLnet
CHAD,ITGA2,stMLnet
CHAD,ITGB1,stMLnet
CIRBP,TREM1,stMLnet
CLCF1,CNTFR,stMLnet
CLCF1,CRLF1,stMLnet
CLCF1,IL6ST,stMLnet
CLCF1,LIFR,stMLnet
CLDN11,CLDN11,stMLnet
CLDN24,CLDN24,stMLnet
CLEC11A,ITGA10,stMLnet
CLEC11A,ITGA11,stMLnet
CLEC11A,ITGB1,stMLnet
CLEC11A,KIT,stMLnet
CLEC2B,KLRF1,stMLnet
CLEC2D,KLRB1,stMLnet
CLEC3A,CLEC10A,stMLnet
CLEC3A,CLEC2B,stMLnet
CLEC4G,LAG3,stMLnet
CNTF,CNTFR,stMLnet
CNTF,IL6R,stMLnet
CNTF,IL6ST,stMLnet
CNTF,LIFR,stMLnet
CNTN1,NOTCH1,stMLnet
CNTN1,NOTCH2,stMLnet
CNTN1,NRCAM,stMLnet
CNTN1,PTPRZ1,stMLnet
CNTN2,CNTN1,stMLnet
CNTN2,CNTN2,stMLnet
CNTN2,CNTNAP2,stMLnet
CNTN2,L1CAM,stMLnet
CNTN2,NRCAM,stMLnet
CNTN2,NRP1,stMLnet
CNTN6,NOTCH1,stMLnet
COL11A1,ITGA2,stMLnet
COL11A1,ITGB1,stMLnet
COL14A1,CD44,stMLnet
COL18A1,GPC1,stMLnet
COL18A1,GPC4,stMLnet
COL18A1,ITGA5,stMLnet
COL18A1,ITGB1,stMLnet
COL18A1,KDR,stMLnet
COL18A1,PTPRS,stMLnet
COL1A1,CD36,stMLnet
COL1A1,CD44,stMLnet
COL1A1,FLT4,stMLnet
COL1A1,GP6,stMLnet
COL1A1,ITGA1,stMLnet
COL1A1,ITGA10,stMLnet
COL1A1,ITGA11,stMLnet
COL1A1,ITGA2,stMLnet
COL1A1,ITGA3,stMLnet
COL1A1,ITGA5,stMLnet
COL1A1,ITGA9,stMLnet
COL1A1,ITGAV,stMLnet
COL1A1,ITGB1,stMLnet
COL1A1,ITGB8,stMLnet
COL1A1,SDC1,stMLnet
COL1A1,SDC4,stMLnet
COL1A2,CD44,stMLnet
COL1A2,FLT4,stMLnet
COL1A2,GP6,stMLnet
COL1A2,ITGA1,stMLnet
COL1A2,ITGA10,stMLnet
COL1A2,ITGA11,stMLnet
COL1A2,ITGA2,stMLnet
COL1A2,ITGA3,stMLnet
COL1A2,ITGA9,stMLnet
COL1A2,ITGAV,stMLnet
COL1A2,ITGB1,stMLnet
COL1A2,ITGB3,stMLnet
COL1A2,ITGB8,stMLnet
COL1A2,SDC1,stMLnet
COL1A2,SDC4,stMLnet
COL2A1,CD44,stMLnet
COL2A1,GP6,stMLnet
COL2A1,ITGA1,stMLnet
COL2A1,ITGA10,stMLnet
COL2A1,ITGA11,stMLnet
COL2A1,ITGA2,stMLnet
COL2A1,ITGA3,stMLnet
COL2A1,ITGA9,stMLnet
COL2A1,ITGAV,stMLnet
COL2A1,ITGB1,stMLnet
COL2A1,ITGB8,stMLnet
COL2A1,MAG,stMLnet
COL2A1,OR1E1,stMLnet
COL2A1,SDC1,stMLnet
COL2A1,SDC4,stMLnet
COL2A1,TNFRSF10A,stMLnet
COL3A1,ITGA2,stMLnet
COL3A1,ITGB1,stMLnet
COL3A1,MAG,stMLnet
COL4A1,CD44,stMLnet
COL4A1,CD47,stMLnet
COL4A1,GP6,stMLnet
COL4A1,ITGA1,stMLnet
COL4A1,ITGA10,stMLnet
COL4A1,ITGA11,stMLnet
COL4A1,ITGA2,stMLnet
COL4A1,ITGA3,stMLnet
COL4A1,ITGA9,stMLnet
COL4A1,ITGAV,stMLnet
COL4A1,ITGB1,stMLnet
COL4A1,ITGB8,stMLnet
COL4A1,SDC1,stMLnet
COL4A1,SDC4,stMLnet
COL4A2,CD44,stMLnet
COL4A2,GP6,stMLnet
COL4A2,ITGA1,stMLnet
COL4A2,ITGA10,stMLnet
COL4A2,ITGA11,stMLnet
COL4A2,ITGA2,stMLnet
COL4A2,ITGA3,stMLnet
COL4A2,ITGA9,stMLnet
COL4A2,ITGAV,stMLnet
COL4A2,ITGB1,stMLnet
COL4A2,ITGB8,stMLnet
COL4A2,SDC1,stMLnet
COL4A2,SDC4,stMLnet
COL4A3,CD44,stMLnet
COL4A3,CD47,stMLnet
COL4A3,GP6,stMLnet
COL4A3,ITGA1,stMLnet
COL4A3,ITGA10,stMLnet
COL4A3,ITGA11,stMLnet
COL4A3,ITGA2,stMLnet
COL4A3,ITGA3,stMLnet
COL4A3,ITGA9,stMLnet
COL4A3,ITGAV,stMLnet
COL4A3,ITGB1,stMLnet
COL4A3,ITGB8,stMLnet
COL4A3,SDC1,stMLnet
COL4A3,SDC4,stMLnet
COL4A4,CD44,stMLnet
COL4A4,CD47,stMLnet
COL4A4,GP6,stMLnet
COL4A4,ITGA1,stMLnet
COL4A4,ITGA10,stMLnet
COL4A4,ITGA11,stMLnet
COL4A4,ITGA2,stMLnet
COL4A4,ITGA3,stMLnet
COL4A4,ITGA9,stMLnet
COL4A4,ITGAV,stMLnet
COL4A4,ITGB1,stMLnet
COL4A4,ITGB8,stMLnet
COL4A4,SDC1,stMLnet
COL4A4,SDC4,stMLnet
COL4A5,CD44,stMLnet
COL4A5,CD47,stMLnet
COL4A5,GP6,stMLnet
COL4A5,ITGA1,stMLnet
COL4A5,ITGA10,stMLnet
COL4A5,ITGA11,stMLnet
COL4A5,ITGA2,stMLnet
COL4A5,ITGA3,stMLnet
COL4A5,ITGA9,stMLnet
COL4A5,ITGAV,stMLnet
COL4A5,ITGB1,stMLnet
COL4A5,ITGB8,stMLnet
COL4A5,SDC1,stMLnet
COL4A5,SDC4,stMLnet
COL4A6,CD44,stMLnet
COL4A6,CD47,stMLnet
COL4A6,GP6,stMLnet
COL4A6,ITGA1,stMLnet
COL4A6,ITGA10,stMLnet
COL4A6,ITGA11,stMLnet
COL4A6,ITGA2,stMLnet
COL4A6,ITGA3,stMLnet
COL4A6,ITGA9,stMLnet
COL4A6,ITGAV,stMLnet
COL4A6,ITGB1,stMLnet
